case_id	page	label	x	y	z	formed_block	template	facing	mirrored	expected
p2-coke-oven-north	2	coke oven, north-facing normal	160	100	160	immersiveengineering:coke_oven	immersiveengineering:multiblocks/coke_oven	north	false	formed-visible
p2-coke-oven-east-control	2	coke oven, east-facing orientation control	180	100	160	immersiveengineering:coke_oven	immersiveengineering:multiblocks/coke_oven	east	false	formed-visible
p2-blast-furnace-north	2	blast furnace, north-facing normal	208	100	160	immersiveengineering:blast_furnace	immersiveengineering:multiblocks/blast_furnace	north	false	formed-visible
p2-advanced-blast-furnace-north	2	advanced blast furnace, north-facing normal	256	100	160	immersiveengineering:advanced_blast_furnace	immersiveengineering:multiblocks/improved_blast_furnace	north	false	formed-visible
p2-alloy-smelter-north	2	alloy smelter, north-facing normal	304	100	160	immersiveengineering:alloy_smelter	immersiveengineering:multiblocks/alloy_smelter	north	false	formed-visible
p3-crusher-north	3	crusher, north-facing normal	160	100	256	immersiveengineering:crusher	immersiveengineering:multiblocks/crusher	north	false	formed-visible
p3-crusher-north-mirrored	3	crusher, north-facing mirrored	180	100	256	immersiveengineering:crusher	immersiveengineering:multiblocks/crusher	north	true	formed-visible
p3-crusher-east-control	3	crusher, east-facing orientation control	200	100	256	immersiveengineering:crusher	immersiveengineering:multiblocks/crusher	east	false	formed-visible
p3-fermenter-north	3	fermenter, north-facing normal	232	100	256	immersiveengineering:fermenter	immersiveengineering:multiblocks/fermenter	north	false	formed-visible
p3-fermenter-north-mirrored	3	fermenter, north-facing mirrored	252	100	256	immersiveengineering:fermenter	immersiveengineering:multiblocks/fermenter	north	true	formed-visible
p3-diesel-generator-north	3	diesel generator, north-facing normal	304	100	256	immersiveengineering:diesel_generator	immersiveengineering:multiblocks/diesel_generator	north	false	formed-visible
p3-diesel-generator-north-mirrored	3	diesel generator, north-facing mirrored	324	100	256	immersiveengineering:diesel_generator	immersiveengineering:multiblocks/diesel_generator	north	true	formed-visible
p3-metal-press-north	3	metal press, north-facing normal	160	100	288	immersiveengineering:metal_press	immersiveengineering:multiblocks/metal_press	north	false	formed-visible
p3-metal-press-north-mirrored	3	metal press, north-facing mirrored	180	100	288	immersiveengineering:metal_press	immersiveengineering:multiblocks/metal_press	north	true	formed-visible
p3-assembler-north	3	assembler, north-facing normal	232	100	288	immersiveengineering:assembler	immersiveengineering:multiblocks/assembler	north	false	formed-visible
p3-assembler-east-control	3	assembler, east-facing orientation control	252	100	288	immersiveengineering:assembler	immersiveengineering:multiblocks/assembler	east	false	formed-visible
p3-auto-workbench-north	3	auto workbench, north-facing normal	304	100	288	immersiveengineering:auto_workbench	immersiveengineering:multiblocks/auto_workbench	north	false	formed-visible
p3-auto-workbench-north-mirrored	3	auto workbench, north-facing mirrored	324	100	288	immersiveengineering:auto_workbench	immersiveengineering:multiblocks/auto_workbench	north	true	formed-visible
p3-bottling-machine-north	3	bottling machine, north-facing normal	160	100	320	immersiveengineering:bottling_machine	immersiveengineering:multiblocks/bottling_machine	north	false	formed-visible
p3-bottling-machine-north-mirrored	3	bottling machine, north-facing mirrored	180	100	320	immersiveengineering:bottling_machine	immersiveengineering:multiblocks/bottling_machine	north	true	formed-visible
p3-mixer-north	3	mixer, north-facing normal	232	100	320	immersiveengineering:mixer	immersiveengineering:multiblocks/mixer	north	false	formed-visible
p3-mixer-north-mirrored	3	mixer, north-facing mirrored	252	100	320	immersiveengineering:mixer	immersiveengineering:multiblocks/mixer	north	true	formed-visible
p3-refinery-north	3	refinery, north-facing normal	304	100	320	immersiveengineering:refinery	immersiveengineering:multiblocks/refinery	north	false	formed-visible
p3-refinery-north-mirrored	3	refinery, north-facing mirrored	324	100	320	immersiveengineering:refinery	immersiveengineering:multiblocks/refinery	north	true	formed-visible
p3-squeezer-north	3	squeezer, north-facing normal	160	100	352	immersiveengineering:squeezer	immersiveengineering:multiblocks/squeezer	north	false	formed-visible
p3-squeezer-north-mirrored	3	squeezer, north-facing mirrored	180	100	352	immersiveengineering:squeezer	immersiveengineering:multiblocks/squeezer	north	true	formed-visible
p3-sawmill-north	3	sawmill, north-facing normal	232	100	352	immersiveengineering:sawmill	immersiveengineering:multiblocks/sawmill	north	false	formed-visible
p3-sawmill-north-mirrored	3	sawmill, north-facing mirrored	252	100	352	immersiveengineering:sawmill	immersiveengineering:multiblocks/sawmill	north	true	formed-visible
p3-arc-furnace-north	3	arc furnace, north-facing normal	304	100	352	immersiveengineering:arc_furnace	immersiveengineering:multiblocks/arcfurnace	north	false	formed-visible
p3-arc-furnace-north-mirrored	3	arc furnace, north-facing mirrored	324	100	352	immersiveengineering:arc_furnace	immersiveengineering:multiblocks/arcfurnace	north	true	formed-visible
